FullName,StartValue
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.ProgramNbWoobleValue","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.ProgramNbWoobleCompareFunction","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldingSpeedRobotSpeed","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner1FocalPosition","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner1ShieldingGasFlowRate","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner1LaserPower","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner2FocalPosition","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner2ShieldingGasFlowRate","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner2LaserPower","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner3FocalPosition","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner3ShieldingGasFlowRate","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner3LaserPower","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner4FocalPosition","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner4ShieldingGasFlowRate","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldCorner4LaserPower","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldLength","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.LaserSourcePowerInput","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.LaserSourcePowerReading","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.BeamWatchReadingPower","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.BeamWatchReadingFocus","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.BeamWatchOffset","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WobbleType","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WobbleAmplitude","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.Frequency","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.GeometrySpeed","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.RampUpIPG","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.RampDownIPG","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldDurationLaserOn","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionWithoutOffsetX","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionWithoutOffsetY","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WeldPositionWithoutOffsetZ","0.0"
